2017_05_16\00022\0306.wav	 复赛童童选什么节目好你帮我们选一个好吗 
2017_05_16\00021\0488.wav	忘了吃药了吧
2017_05_16\00013\0276.wav	不敢乱扒拉
2017_05_16\00025\0179.wav	苹果吃的时候在水干净的水再重洗一遍
2017_05_16\00010\0620.wav	 可以的可以的等着你啊 
2017_05_16\00008\0155.wav	 泡浆我泡浆泡黑豆都是很好的 
2017_05_16\00011\0579.wav	 张妹儿你在干啥子没见你的声音 
2017_05_16\00008\0644.wav	 饭都不吃 
2017_05_16\00031\0903.wav	 又买了饺子吃 
2017_05_16\00006\0858.wav	 听写多少课 
2017_05_16\00000\0249.wav	看看妈没事儿挺好的
2017_05_16\00012\0636.wav	没什么离婚多少年了
2017_05_16\00016\0023.wav	我问你昨天发的朋友圈儿里那唱的那歌好听不好听
2017_05_16\00031\0200.wav	这就是共产党吗
2017_05_16\00001\0325.wav	 是我们那边个别村子里的 
2017_05_16\00012\0047.wav	 你现在在干嘛 
2017_05_16\00002\0910.wav	 一个小时路要七十块钱就那么一点点 
2017_05_16\00033\0035.wav	我前几天去纽约看
2017_05_16\00006\0208.wav	 金老板下午有没有在店里面 
2017_05_16\00028\0099.wav	你让哥哥玩一玩再发红包
2017_05_16\00007\0992.wav	 今天也不晓得怎么回事浑身没劲 
2017_05_16\00017\0780.wav	 起码要到端午节的时候 
2017_05_16\00013\0906.wav	我刚才静心想一想如果真的去上海和北京也不太切合实际
2017_05_16\00021\0529.wav	 这个你看应该不用动孩子能过去 
2017_05_16\00022\0949.wav	今天下去明天上来啊
2017_05_16\00032\0292.wav	我也是就认识几个不过好些人我都是看着能知道是九十八中的可是以前没说过话
2017_05_16\00017\0132.wav	 就跟你说我们姐妹这些其实我 
2017_05_16\00028\0699.wav	 好的好的尽快啊 
2017_05_16\00025\0068.wav	中华这么懂事的孩子少有
2017_05_16\00013\0578.wav	好的
2017_05_16\00012\0796.wav	 对呀这是咋搞的呀哎呀 
2017_05_16\00012\0939.wav	你梦里有谁我不重要我梦里一定要有你
2017_05_16\00013\0351.wav	有美女陪着喝酒还迷糊哇我看不挺好的挺高兴的喝的还能还能喝多呀那叫喝的高兴酒儿迷糊啥呀
2017_05_16\00001\0323.wav	 我想吃 
2017_05_16\00010\0189.wav	 我现在在外面吃饭特别吵听不太清楚我回去再仔细听跟你商量 
2017_05_16\00020\0638.wav	 就一个红包一句话吗 
2017_05_16\00012\0730.wav	 我还没吃在外面吃 
2017_05_16\00009\0652.wav	 这几个人都让你们带坏了 
2017_05_16\00022\0668.wav	 长春国际贸易专科儿学校 
2017_05_16\00021\0406.wav	我就不过去了你们好好儿聊
2017_05_16\00001\0508.wav	这黑的白的是裙子是吗
2017_05_16\00031\0018.wav	 试试你的款待 
2017_05_16\00026\0022.wav	 退钱补货都可以 
2017_05_16\00008\0912.wav	 男人做的事女人肯定是不敢的 
2017_05_16\00028\0806.wav	 现在回店里啦 
2017_05_16\00022\0865.wav	记住科二没有什么
2017_05_16\00027\0874.wav	 郑姐那个四十盘的你家批多少钱一件出去呀 
2017_05_16\00024\0159.wav	 在家就可以享受到正宗的泰国水果 
2017_05_16\00024\0190.wav	你老不回话是什么意思
2017_05_16\00031\0767.wav	咱们邻居家的儿子要办喜事儿我刚他从他们那儿来了
2017_05_16\00003\0399.wav	 术前准备的散瞳药记得签字 
2017_05_16\00030\0402.wav	 就这智商还敢出门儿也不怕丢喽 
2017_05_16\00030\0322.wav	 我还因为你不和我聊了 
2017_05_16\00032\0673.wav	 是没有报销的我有报销 
2017_05_16\00003\0798.wav	 我才不要做尼姑呢 
2017_05_16\00027\0898.wav	 看来被我说中了 
2017_05_16\00005\0560.wav	 还闷吧 
2017_05_16\00018\0001.wav	 他什么时候有空请他联系一下 
2017_05_16\00032\0273.wav	 书读多了把脑子给读坏了有啥用啊 
2017_05_16\00025\0600.wav	 他现在这心里头也没把这个事儿当回事儿干哪再一个你说来到这块儿都半年多了你说我连个不字儿我都不说我就哄着捧着的而反而给他酿成这样式儿的 
2017_05_16\00029\0413.wav	 请你不要这样好吗 
2017_05_16\00005\0825.wav	 一样钱对吧 
2017_05_16\00023\0384.wav	 南安火车站 
2017_05_16\00020\0473.wav	如果做铜就没有倒闭
2017_05_16\00002\0155.wav	华华
2017_05_16\00022\0565.wav	 一般小公司不会把会计列入黑名单 
2017_05_16\00009\0016.wav	其实是四与X之间
2017_05_16\00026\0109.wav	燃油补贴
2017_05_16\00006\0438.wav	 我在家呢高勇上辽宁中医院 
2017_05_16\00007\0908.wav	今天也不晓得怎么回事就是浑身没劲
2017_05_16\00011\0648.wav	 还没洗那么快 
2017_05_16\00031\0140.wav	人家枇杷都下市了你的还没吃
2017_05_16\00017\0416.wav	面膜一般我们最常用也是最划算的就是这两款洋甘菊和玫瑰洋甘菊是
2017_05_16\00000\0654.wav	 身不由已哟 
2017_05_16\00021\0148.wav	 你把它撤回干嘛 
2017_05_16\00017\0532.wav	呃街道组织值班儿
2017_05_16\00017\0669.wav	互相支持互相帮忙嘛
2017_05_16\00021\0470.wav	 我生什么气呀 
2017_05_16\00021\0592.wav	昨天是母亲节我前天东西就送上去了爸爸的药他打电话来把他送上去了
2017_05_16\00010\0349.wav	 他们从四川回到浙江了昨天 
2017_05_16\00016\0203.wav	 他是什么内容让他听呢 
2017_05_16\00002\0885.wav	 听到了吗 
2017_05_16\00008\0483.wav	中午有空的话
2017_05_16\00022\0434.wav	老班长你好
2017_05_16\00004\0758.wav	把你那照片儿发过来俺看看行吗认识一下儿
2017_05_16\00002\0566.wav	小袁今天几点上班呐
2017_05_16\00006\0856.wav	 语音坏了不好聊 
2017_05_16\00018\0125.wav	管他呢反正你要走这步
2017_05_16\00016\0720.wav	能给我们开绿灯的话我想我还是我们还是想办个证
2017_05_16\00024\0191.wav	咋不聊天儿
2017_05_16\00004\0764.wav	 好在有佳人相伴不然是不是一天都呆不下 
2017_05_16\00018\0484.wav	是你给你爸打电话了吗
2017_05_16\00024\0158.wav	问候一声就开心
2017_05_16\00022\0739.wav	被你吵吵醒了吵吵睡不着
2017_05_16\00026\0921.wav	 过来打麻将吗 
2017_05_16\00026\0620.wav	是早上七点半
2017_05_16\00028\0740.wav	 我才看着去吧啊今晚我等你 
2017_05_16\00011\0088.wav	难道你还怕跟我说
2017_05_16\00008\0827.wav	 我就是跟你说你是我们的哥哥 
2017_05_16\00018\0446.wav	 对那黑的是七分袖吧带印花带刺绣的好像是吧立领儿 
2017_05_16\00033\0006.wav	 老表吃午饭没有 
2017_05_16\00008\0887.wav	四十六路终点站
2017_05_16\00012\0615.wav	小青十八号早上是
2017_05_16\00031\0475.wav	没有人打没有人打油茶给你喝
2017_05_16\00028\0504.wav	 问你一样的 
2017_05_16\00017\0009.wav	你看距离他显示的不准
2017_05_16\00024\0798.wav	 儿子你们过得幸福快乐妈妈就高兴了 
2017_05_16\00013\0568.wav	不好意思刚才接了个电话
2017_05_16\00022\0126.wav	你死一边去我还发照片给你
2017_05_16\00015\0450.wav	弟也是一天到晚各种
2017_05_16\00008\0682.wav	 又到了鲜姜上市的日子 
2017_05_16\00020\0885.wav	 南安火车站 
2017_05_16\00023\0733.wav	 这种人你就不要 
2017_05_16\00024\0460.wav	 哎呦你缺那点流量哦 
2017_05_16\00010\0851.wav	 不可思议呀 
2017_05_16\00011\0893.wav	公寓的过户费比较高是吧
2017_05_16\00005\0633.wav	 你去不去啊我走了哦 
2017_05_16\00012\0422.wav	不用买告诉你不用买听到了吗
2017_05_16\00024\0003.wav	你的驾照扣分了吗
2017_05_16\00022\0778.wav	才看见
2017_05_16\00024\0964.wav	好啦我不跟你俩俩唠了我
2017_05_16\00020\0271.wav	 那不行的要吃点饭的 
2017_05_16\00030\0483.wav	把他带到腰上不就看不到了吗
2017_05_16\00029\0485.wav	 那看样你也没洗过呢 
2017_05_16\00011\0366.wav	我这钻石边儿上这小钻怎么发紫呢
2017_05_16\00007\0963.wav	晚上好好请他们吃一顿儿一个屯子人儿再说你二哥还是过生日
2017_05_16\00003\0172.wav	 上班儿那天正是八月三号儿 
2017_05_16\00006\0548.wav	我本身就办的每月八百兆
2017_05_16\00025\0832.wav	哦我一看就有点像他儿子
2017_05_16\00024\0478.wav	 我只是休礼拜日礼拜六 
2017_05_16\00030\0746.wav	 星期四然后 
2017_05_16\00010\0614.wav	 梅花怎么啦 
2017_05_16\00032\0120.wav	 好久不见啦也不红包表示一下诚意 
2017_05_16\00016\0212.wav	我的手机太不灵说话老没嗯
2017_05_16\00005\0198.wav	你咋那么快刚才还浪呢现在又在车上
2017_05_16\00004\0815.wav	 还有红包儿哪咋没人儿抢呢 
2017_05_16\00016\0617.wav	 中午吃的鱼叫做水里浪 
2017_05_16\00030\0529.wav	 不好意思没有及时回复你请问还在吗 
2017_05_16\00001\0085.wav	严重的话要吃药挂水哦
2017_05_16\00025\0415.wav	爱你爱的好想你呀
2017_05_16\00027\0251.wav	他想把我们的厨房拆了修一条路上去我不答应
2017_05_16\00031\0933.wav	 来一趟多呆一些日子陪陪你妈 
2017_05_16\00030\0985.wav	 百货大楼拆我觉得不应该 
2017_05_16\00004\0933.wav	大钱跟我没缘
2017_05_16\00030\0939.wav	 我这首歌儿已经表达我对你的表态 
2017_05_16\00001\0290.wav	 领了两块七毛多钱 
2017_05_16\00001\0675.wav	 你看我在网上发表的我那天就看到一个帅哥了 
2017_05_16\00029\0540.wav	 你就上班儿吧早晚得累死 
2017_05_16\00006\0016.wav	这个保险公司还有打折卡
2017_05_16\00020\0581.wav	 有上班吗今天 
2017_05_16\00029\0402.wav	只是听别人说一说而已
2017_05_16\00020\0836.wav	对象肯定工作差不了
2017_05_16\00018\0330.wav	那你坐车到市就是坐火车不就不就到市里
2017_05_16\00002\0762.wav	呆的有点儿不适应吧
2017_05_16\00002\0612.wav	 不再不要再让明丽 
2017_05_16\00006\0185.wav	 养你的病吧 
2017_05_16\00005\0035.wav	 看不懂吗黄乐宇说乐山的房子降价了叫你赶快下手 
2017_05_16\00004\0168.wav	 想回来赶个礼拜天儿回来吧你啊 
2017_05_16\00033\0227.wav	 显字儿显错了你不要笑话我 
2017_05_16\00015\0449.wav	我盼这天真的盼了好难好难的
2017_05_16\00024\0029.wav	你叫哥哥玩一玩再发红包
2017_05_16\00030\0049.wav	 我回来和你生小孩儿 
2017_05_16\00011\0164.wav	 你还要叫我陪你玩我哪有空啊 
2017_05_16\00032\0972.wav	 你让我九点再回家不敢去 
2017_05_16\00032\0119.wav	今天又来了个女的
2017_05_16\00028\0432.wav	 如果你今晚早回来 
2017_05_16\00011\0256.wav	 我就说你是我们的大哥 
2017_05_16\00024\0246.wav	 多吃点儿水果儿对身体好 
2017_05_16\00030\0602.wav	 收入远大于支出嘛而且他那个成本费也也给我了 
2017_05_16\00011\0532.wav	 还在下雨吗 
2017_05_16\00029\0388.wav	 你自己的活还没有干完是不是 
2017_05_16\00031\0990.wav	点加号
2017_05_16\00016\0393.wav	 这娘俩咋的呀 
2017_05_16\00010\0834.wav	有人在康桥边轻轻吟唱轻轻地我走了正如我轻轻的来我轻轻的招手作别西天的云彩
2017_05_16\00014\0247.wav	 都是懒人爱睡觉 
2017_05_16\00012\0760.wav	发钞票发房子
2017_05_16\00019\0756.wav	中华像这么懂事的孩子真没几个
2017_05_16\00007\0575.wav	上我们家来洗来不用坐水现成儿的
2017_05_16\00031\0505.wav	让我回广州了再叫我去
2017_05_16\00017\0597.wav	佳妮欠我十块零八毛这这这都得记住
2017_05_16\00010\0921.wav	真的是一个母亲是非常的伟大祝母亲节快乐吧
2017_05_16\00020\0012.wav	你咋这奸呢你想留着晚上早点儿睡怕我盯着你俩干啥呀
2017_05_16\00019\0707.wav	那银行卡整完了打点钱就能就能解开呀
2017_05_16\00018\0545.wav	 等我到那到时间再看吧哈能给宝宝带去就带去 
2017_05_16\00011\0719.wav	 是拿不好意思写错了 
2017_05_16\00009\0112.wav	 你不知道的话问一下人不要奏反调 
2017_05_16\00012\0722.wav	客观看待面看待问题
2017_05_16\00016\0476.wav	你问一下妈妈看一下老看一下老爸
2017_05_16\00029\0048.wav	 我经常在杭州的我这边来的多然后哪天有机会我就过来大家一起吃个饭啊多叫几个同学 
2017_05_16\00004\0908.wav	 没敢跟你聊怕你在家呀怕引起你那位的误会 
2017_05_16\00008\0020.wav	 你是不是也快要退休了 
2017_05_16\00001\0492.wav	 我看看吧我今天没去呢明天再去看去看看有那么管子粗细现成儿的那包空调的那个粗细不会整 
2017_05_16\00012\0204.wav	谁说没胃口你没吃吃尝尝
2017_05_16\00004\0835.wav	我的父亲是最难忘的父亲
2017_05_16\00002\0730.wav	刚吃了饭在单位上吃的
2017_05_16\00004\0527.wav	不会不会的你去了准看上
2017_05_16\00004\0695.wav	 老婆昨天晚上战果如何喝多没 
2017_05_16\00022\0147.wav	是不是你身边有什有别人不方便你接呀
2017_05_16\00031\0957.wav	 你是买衣服还是认识人哪 
2017_05_16\00016\0258.wav	我的手机坏了不能抢了
2017_05_16\00019\0072.wav	小齐嗯
2017_05_16\00021\0441.wav	我的决定取决于你的态度
2017_05_16\00011\0457.wav	 小尹中午好 
2017_05_16\00023\0010.wav	王静去泰国啦泰国风景好哇
2017_05_16\00004\0795.wav	所以我们要真
2017_05_16\00031\0260.wav	我这两天有点儿事儿
2017_05_16\00002\0674.wav	要是觉得挺好挺喜欢的就留着他好像得邮到家里头
2017_05_16\00027\0442.wav	丹丹领喽我妈就发二十
2017_05_16\00018\0572.wav	 瓜未醒呃瓜未熟 
2017_05_16\00028\0262.wav	那是你说的我可没说呀
2017_05_16\00000\0719.wav	高学胜吃饭了吗
2017_05_16\00009\0590.wav	姐有时间的话可以来参观一下
2017_05_16\00001\0380.wav	我是邸庆和
2017_05_16\00026\0859.wav	就一个女的在那儿等着呢就有不几挑儿
2017_05_16\00002\0072.wav	我有意注意了一下
2017_05_16\00009\0810.wav	你周六晚上快十一点多说的
2017_05_16\00027\0941.wav	 明天正好儿在华侨医院看两个月了 
2017_05_16\00010\0579.wav	 一会儿你多喝点儿白开水过一会儿洗澡儿该渴了 
2017_05_16\00011\0644.wav	你没收到货你就付款这么屌
2017_05_16\00013\0466.wav	 我这个划不开呀 
2017_05_16\00006\0873.wav	你就想看看我的还能有两样儿的嘛女女人不都是一样儿的吗
2017_05_16\00001\0678.wav	 不是因为我之前有一个手机让他在修我现在修好了 
2017_05_16\00030\0043.wav	以前嘛有时候儿也会说但是我是一直以来和他妈妈话很少不和他妈妈说话
2017_05_16\00019\0477.wav	偶尔在网络上看到了一篇嗯未来
2017_05_16\00025\0911.wav	各五包儿
2017_05_16\00007\0187.wav	说玩儿红包儿谁给你拽进去
2017_05_16\00022\0134.wav	 因为我会死的我无法属于你 
2017_05_16\00006\0169.wav	 曹燕找你有点儿闲事儿问你 
2017_05_16\00028\0970.wav	 小点告诉小王 
2017_05_16\00007\0871.wav	 好的都是你的 
2017_05_16\00024\0053.wav	 你来了以后就不会联系我了 
2017_05_16\00013\0012.wav	 现在活儿忙吗 
2017_05_16\00024\0761.wav	门神贴反了
2017_05_16\00007\0777.wav	 你现在可以叫我们一起去了 
2017_05_16\00010\0623.wav	 哎呀董静啊你真是好福气 
2017_05_16\00013\0894.wav	你今年没挣多少钱吧
2017_05_16\00016\0801.wav	 回来要小心一点路上很滑 
2017_05_16\00000\0092.wav	群主吃饭了吗
2017_05_16\00000\0210.wav	 找找看吧便宜的先干着吧那怎么着呀 
2017_05_16\00013\0194.wav	 把那个好像都改成南京了 
2017_05_16\00008\0265.wav	 是不是觉得我这个人太老实啦太斯文啦 
2017_05_16\00012\0912.wav	每天都忙忙得不可开交
2017_05_16\00016\0973.wav	怎么会累了没钱才会累
2017_05_16\00021\0344.wav	风翻白浪
2017_05_16\00017\0744.wav	 亲我怎么知道你在睡觉啊 
2017_05_16\00024\0873.wav	万小琴中午又那么早喂
2017_05_16\00026\0182.wav	到时候买个好的咱也霸气霸气
2017_05_16\00031\0064.wav	在一起喝酒了
2017_05_16\00019\0195.wav	昨天你要说先不围那个手腕儿那个然后我昨天就给你买了
2017_05_16\00004\0576.wav	果实来自于对土壤的优化来自于树干来自于树枝来自于树叶最后才会有果实
2017_05_16\00026\0264.wav	 曹班头儿公司把我打发到绿岛湖去了 
2017_05_16\00008\0441.wav	 你知道吗我在漂流瓶里遇到一个男的暴露狂 
2017_05_16\00028\0582.wav	 你敢要我就敢嫁 
2017_05_16\00002\0173.wav	 必须找那个东东他给你介绍那一个 
2017_05_16\00016\0165.wav	狗跟小祖宗一样
2017_05_16\00004\0911.wav	 装了一个杀毒软件 
2017_05_16\00022\0274.wav	上面的一一块八上面的两块下边儿的一块五
2017_05_16\00011\0076.wav	 那我怎么办呢 
2017_05_16\00019\0598.wav	 暂时不办如果有朋友需要办的跟你联系 
2017_05_16\00015\0993.wav	生在了这个美女窝里
2017_05_16\00031\0065.wav	刚他们家里来了
2017_05_16\00031\0212.wav	 下次我给你补补脸脸补补水 
2017_05_16\00022\0669.wav	 是谁呀嫂子 
2017_05_16\00024\0793.wav	 上面儿的最下面那行的地址是不对的应该改一下 
2017_05_16\00020\0355.wav	和我们老二在粮仓干活儿呢
2017_05_16\00011\0814.wav	算了吧我给他发了十多个他立刻就不回我了
2017_05_16\00020\0407.wav	 问一下宝宝也需要护照吗 
2017_05_16\00008\0816.wav	睡吧做个美梦
2017_05_16\00005\0491.wav	 给你发了两个图片 
2017_05_16\00013\0474.wav	今天穿白色的衣服真的好漂亮啊
2017_05_16\00017\0503.wav	一块五的就是我卖的三块的
2017_05_16\00019\0476.wav	 是我心中的偶像 
2017_05_16\00003\0746.wav	 你知道一个人叫凡宇的人吗 
2017_05_16\00010\0015.wav	 我要是去的话还是我请你吧 
2017_05_16\00024\0017.wav	 以前跟你在一起每天在跟你聊天的时候觉得时间过得很快你知道吗 
2017_05_16\00009\0825.wav	 因为毕竟如果你有官关系可能面试呃可能笔试那一关都会竞争比较大 
2017_05_16\00027\0271.wav	咋回事儿
2017_05_16\00027\0579.wav	 我就封号了就能抢就不能发包 
2017_05_16\00024\0490.wav	爸爸看这个好不好吃呀
2017_05_16\00011\0265.wav	 因为他们本来上一年级就已经开始写很多作业他们就觉得从幼儿园过渡到有一年级就很累 
2017_05_16\00006\0305.wav	拍什么照我拍过来啦
2017_05_16\00024\0790.wav	今天去哪出差啦
2017_05_16\00003\0215.wav	发朋友圈我本人同意吧
2017_05_16\00005\0841.wav	看到照片儿了
2017_05_16\00010\0255.wav	 他昨天从你们四川回到 
2017_05_16\00003\0857.wav	一上班儿就忙网络一上午打补丁什么活儿也没干成
2017_05_16\00003\0994.wav	 不知道我有没有这个荣幸跟你这个大老板合作 
2017_05_16\00015\0575.wav	看了你家一家都是美女啊
2017_05_16\00014\0179.wav	逛了一个上午还没逛够啊还没回来
2017_05_16\00020\0491.wav	你知道我家这个是什么品种吗
2017_05_16\00014\0357.wav	他的条子跟万达是一样的
2017_05_16\00019\0564.wav	 对呀人要自信要勤学苦练 
2017_05_16\00002\0027.wav	我朋友发了一千多块钱
2017_05_16\00011\0806.wav	 忘记了放包里面回来找说没有哇 
2017_05_16\00018\0540.wav	 挺长时间没和你聊天儿啦 
2017_05_16\00016\0597.wav	 好吧你吃不打扰 
2017_05_16\00012\0599.wav	 你耳朵耳朵戴的是啥呀 
2017_05_16\00028\0536.wav	 我是睡着了他干我迷迷糊糊我知道 
2017_05_16\00003\0512.wav	 很简单中午吃饭的时候你把pos机拿出来你说姐把我们的余款刷了吧还剩一万九千八 
2017_05_16\00031\0469.wav	让宋毅天上我家来吃樱桃吧
2017_05_16\00030\0012.wav	 我们经常做也是会腰疼的 
2017_05_16\00026\0226.wav	不知道会怎么样子
2017_05_16\00028\0571.wav	 话筒可以用吧你把那个话筒还有那个音箱放到那房间里面去麻烦你了 
2017_05_16\00029\0307.wav	 不定什么洗完不定啥样没洗之前瞅着挺硬实 
2017_05_16\00003\0991.wav	 把我看成什么样了 
2017_05_16\00007\0414.wav	 有手机 
2017_05_16\00025\0547.wav	 我们是有售后体系的 
2017_05_16\00004\0070.wav	华华
2017_05_16\00003\0438.wav	兴奋激动对吗
2017_05_16\00029\0385.wav	 什么时候又看 
2017_05_16\00021\0631.wav	看完后让人心酸
2017_05_16\00017\0977.wav	我们我们的户籍住址是在济宁百事门八号但是由于工作的原因我们现在住在上上张村一个简易棚里地址不详
2017_05_16\00018\0639.wav	 少喝点儿酒哇天天咳嗽 
2017_05_16\00011\0282.wav	 幺五零四七六八九四七七 
2017_05_16\00015\0409.wav	我们吃早饭都九点多了
2017_05_16\00027\0331.wav	他也没
2017_05_16\00011\0007.wav	 妹妹呀 
2017_05_16\00028\0454.wav	 就是每时每刻都想我的妹妹呀 
2017_05_16\00015\0077.wav	你就不会自个儿挣点儿钱给他买一台给他买上
2017_05_16\00031\0352.wav	不是牛魔王
2017_05_16\00030\0327.wav	 我都说了总共五十你看看了这里都一百了好不好 
2017_05_16\00022\0731.wav	 可渗透皮下六到九厘米穿透脂肪层及针灸点穴拔罐儿磁疗通经络五合一的效果悬磁 
2017_05_16\00011\0896.wav	 吃吃饭喽 
2017_05_16\00028\0320.wav	老大发包儿
2017_05_16\00032\0074.wav	我还成了猪八戒照镜子了
2017_05_16\00023\0133.wav	看看这篇文章文章后
2017_05_16\00021\0071.wav	还是换你那个头像好看
2017_05_16\00007\0471.wav	 视频上你那儿去了吗 
2017_05_16\00018\0982.wav	 吃饭了啦还不下来 
2017_05_16\00005\0061.wav	徐子去福军饭店吃饭去了
2017_05_16\00012\0388.wav	 跟你说这些你不要笑我啊说我背着你说我们姐妹不好不好 
2017_05_16\00019\0386.wav	 你也要看你们厂里生意呀 
2017_05_16\00012\0412.wav	睡醒了吗
2017_05_16\00001\0867.wav	使用六十天全面巩固
2017_05_16\00029\0219.wav	 今天今天到店里面那么早 
2017_05_16\00023\0454.wav	你有没有微信绑定卡
2017_05_16\00032\0725.wav	 受理单不在你手上吗他受理单应该给你呀告诉你我受理了然后你再凭着受理单到时候可以领取的 
2017_05_16\00015\0395.wav	大的一箱是六个小的一箱是二十分两层装
2017_05_16\00023\0094.wav	他居然结婚啦也不给我们讲一下哦
2017_05_16\00019\0167.wav	那你是不是有什么缺陷
2017_05_16\00014\0534.wav	 你要做我老婆我把你当个宝贝 
2017_05_16\00018\0842.wav	他不怎么样来有时我回家
2017_05_16\00019\0323.wav	 什么意什么不好意思这是开玩笑的 
2017_05_16\00029\0667.wav	 你喜欢的东西都让你爸败坏了 
2017_05_16\00011\0442.wav	 刘滨给你爸打电话了吗 
2017_05_16\00013\0404.wav	还有衣架阳台挂衣服的
2017_05_16\00015\0442.wav	将来是最有出息的孩子
2017_05_16\00005\0065.wav	 加微信可以啊加我的微信啊发红包给我 
2017_05_16\00000\0241.wav	我想和你做爱
2017_05_16\00021\0160.wav	 素菜一份儿是六块然后荤菜一份儿是十一 
2017_05_16\00026\0946.wav	 孝我孩子也做到了 
2017_05_16\00016\0522.wav	 我家是乌尔旗汗的我家在三十六号楼住 
2017_05_16\00008\0455.wav	哎你支付学费支付那个
2017_05_16\00001\0631.wav	走入高中的大门的时候
2017_05_16\00015\0688.wav	你说他去这一趟咱一点儿也没协商
2017_05_16\00020\0555.wav	 我发现我说话说快了这个字儿就容易出错 
2017_05_16\00001\0685.wav	 他退休还给十亩地吗 
2017_05_16\00016\0192.wav	这个我看网上有卖
2017_05_16\00016\0215.wav	 那黄瓜是买的还是种的 
2017_05_16\00017\0252.wav	还有辣椒摊鸡蛋
2017_05_16\00006\0916.wav	我寻思你在家不在家我就给你点了一个歌儿
2017_05_16\00025\0176.wav	你比我想象的要胖多了
2017_05_16\00020\0131.wav	你家老公有福啦
2017_05_16\00023\0813.wav	 南安火车站 
2017_05_16\00002\0542.wav	 明天会更好你再午休吗 
2017_05_16\00004\0888.wav	 发一个 
2017_05_16\00013\0104.wav	中华像这样儿懂事的孩子没有多少了
2017_05_16\00016\0417.wav	 大的需求是什么大的怕下垂 
2017_05_16\00025\0868.wav	 老姑娘到没到家呢 
2017_05_16\00027\0755.wav	你表哥家里做什么的
2017_05_16\00027\0845.wav	 希望能成为一只很好的千里马 
2017_05_16\00017\0421.wav	那我们应该是哪一种座位
2017_05_16\00005\0062.wav	你会呀你的普通话讲得很好呀
2017_05_16\00000\0722.wav	 怎么又不喝了呢 
2017_05_16\00010\0075.wav	庆章还喝酒呢
2017_05_16\00001\0154.wav	 胸围多大的 
2017_05_16\00013\0095.wav	 他不喜欢那个你换换去吧 
2017_05_16\00005\0135.wav	 操你姥姥回话 
2017_05_16\00025\0970.wav	那我很敬佩你你有
2017_05_16\00008\0453.wav	 开玩笑我等一会 
2017_05_16\00022\0209.wav	 我说的是今天呐 
2017_05_16\00028\0476.wav	 在干嘛吃饭了吗 
2017_05_16\00030\0617.wav	 另外我们买的那个车子的保险有没有那个保险的原档案呐 
2017_05_16\00022\0670.wav	 小曹你们家有人送你送上车吗送站的 
2017_05_16\00002\0335.wav	 我就成了你妹夫了 
2017_05_16\00029\0349.wav	 李总明天旅游我就不去了我有事 
2017_05_16\00029\0091.wav	 下午就完事儿了一会儿就完事儿了 
2017_05_16\00013\0043.wav	 姐妹不要用师傅和徒弟 
2017_05_16\00000\0452.wav	这我多高兴啊
2017_05_16\00011\0971.wav	现在每个家庭的小狗狗
2017_05_16\00009\0826.wav	我今天我为什么我没法再干下去了广播站
2017_05_16\00015\0168.wav	 郑平叫你好好坐车你不坐你耍什么流氓啊 
2017_05_16\00031\0872.wav	 要是老板娘他们参加我们的活动的话再去加几个菜 
2017_05_16\00027\0390.wav	我叫他喝雪碧他现在喝了一些就是防止脱水还有电解质
2017_05_16\00019\0676.wav	只要你的精力来得及都可以我怕你很累
2017_05_16\00022\0921.wav	徐摊早上说要把萌萌交给我们
2017_05_16\00006\0618.wav	 上班儿呢吗累不累呀 
2017_05_16\00010\0355.wav	 公司都有佩戴 
2017_05_16\00013\0109.wav	师姐余下的两组玻璃我看你就不要擦了
2017_05_16\00004\0417.wav	 把昨天内容发过几段过来 
2017_05_16\00018\0602.wav	 那么远你能见到我吗 
2017_05_16\00010\0138.wav	你在南河什么地方上班
2017_05_16\00022\0390.wav	 我和他们耍赖他能怎么怎么样我 
2017_05_16\00024\0666.wav	 女人的待遇比男人更多 
2017_05_16\00028\0895.wav	 池阳池阳 
2017_05_16\00009\0351.wav	这心脏有问题
2017_05_16\00008\0283.wav	上次刚还他五千
2017_05_16\00025\0316.wav	 先把电话发上来下次好联系你呀 
2017_05_16\00014\0169.wav	等过两年小孩儿大了一点再去
2017_05_16\00000\0221.wav	你不要给人家买
2017_05_16\00005\0281.wav	 如果大家要在一起的话得对对方多了解了解 
2017_05_16\00018\0661.wav	我觉得你越来越坏了这些话你都说得出口哇
2017_05_16\00018\0963.wav	 昨天包的饺子 
2017_05_16\00027\0713.wav	 嗯你们你们那 
2017_05_16\00002\0365.wav	 刚好这个又这个借口 
2017_05_16\00030\0328.wav	没有吃饭没劲
2017_05_16\00019\0221.wav	我中午炒的蛋炒饭
2017_05_16\00018\0152.wav	我是做高端木制品全屋私人定制的
2017_05_16\00029\0524.wav	马上我去厂子啊
2017_05_16\00028\0623.wav	 小米我们那个 
2017_05_16\00033\0095.wav	 有没有电影看看 
2017_05_16\00012\0256.wav	 大卸八块儿 
2017_05_16\00012\0395.wav	 我家是乌尔旗汗的我就在三十六号儿楼住 
2017_05_16\00026\0156.wav	 你忙吧拜拜 
2017_05_16\00015\0228.wav	 哪天你 
2017_05_16\00011\0905.wav	你们这些人还没吃饱吗
2017_05_16\00022\0646.wav	你做决定吧今天因为有活动
2017_05_16\00019\0232.wav	 反正我今天中午也不打算去他家了 
2017_05_16\00003\0282.wav	 有手机 
